deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
fake_838.wav,2.7156909,2.383544,3.852371,2.6612313,3.4179208,NISQAv2
real_986.wav,2.819829,3.1365817,2.803325,3.4237986,3.7191317,NISQAv2
fake_192.wav,2.723767,1.9566293,3.3114421,2.4537442,3.3406153,NISQAv2
fake_1975.wav,1.9381729,3.0198634,2.7977154,1.8619608,2.809659,NISQAv2
real_987.wav,4.494478,4.144536,4.4739375,4.3655925,4.468839,NISQAv2
fake_1974.wav,1.9290243,2.551217,2.917806,1.8199443,2.723225,NISQAv2
fake_193.wav,2.5777667,2.0376968,3.76351,2.989319,3.3792584,NISQAv2
fake_187.wav,2.6891959,2.1347952,3.75552,3.034645,3.482897,NISQAv2
fake_1960.wav,1.8596555,2.341556,2.9843638,2.1119504,2.6427383,NISQAv2
fake_839.wav,2.7480159,2.5247767,3.9597862,2.2379491,3.538666,NISQAv2
real_993.wav,4.475,3.2614152,4.60604,4.310444,4.520517,NISQAv2
real_763.wav,4.583007,4.495034,4.6234183,4.156978,4.5398326,NISQAv2
fake_811.wav,2.307188,2.2797,3.7780983,2.5821996,3.2237186,NISQAv2
fake_2299.wav,3.8793147,3.8877249,4.3532934,3.5268157,4.131705,NISQAv2
fake_1948.wav,2.8852174,3.5557804,3.9365861,2.7415872,3.4450579,NISQAv2
fake_1790.wav,3.2069676,1.8627635,4.250408,3.541077,3.8923147,NISQAv2
real_2186.wav,4.6030054,4.4754405,4.63875,4.3544793,4.40046,NISQAv2
fake_1784.wav,2.8914878,2.4308784,3.702469,2.8972554,3.6324732,NISQAv2
real_2192.wav,4.465142,3.897392,4.563744,4.1792045,4.497123,NISQAv2
fake_805.wav,2.7227685,2.9848206,3.5258584,2.552069,3.6092644,NISQAv2
real_777.wav,4.0474586,4.0791435,4.232706,3.5816739,4.1578226,NISQAv2
fake_1009.wav,3.7207978,2.657797,4.4173126,3.7275622,4.1268754,NISQAv2
real_944.wav,4.2441444,3.9244754,4.2999654,4.0975957,4.3624268,NISQAv2
fake_2500.wav,2.3284895,2.4817464,3.473138,2.4805815,3.2716787,NISQAv2
fake_636.wav,2.853648,3.1213489,3.334876,2.5286353,3.414854,NISQAv2
real_1316.wav,4.1856422,4.2306805,4.1915135,3.6993186,4.04849,NISQAv2
fake_150.wav,2.5245273,3.251726,3.3378608,2.5746932,3.6004894,NISQAv2
fake_2266.wav,3.698974,3.607209,4.257638,3.3527455,4.0591006,NISQAv2
real_1470.wav,4.3652205,4.3875713,4.6596336,4.3134623,4.3471174,NISQAv2
real_2179.wav,3.7984679,4.001594,3.9969037,3.4816737,4.1282935,NISQAv2
fake_144.wav,2.5086343,3.314496,3.4661715,2.7136004,3.5693572,NISQAv2
fake_2272.wav,3.145077,3.3429708,3.680071,2.6448052,3.7396364,NISQAv2
real_1464.wav,4.0767694,4.2253594,4.4666033,3.6893601,4.1730533,NISQAv2
fake_2514.wav,2.9312823,3.542253,3.6372993,2.6378984,3.5426207,NISQAv2
fake_622.wav,2.6971776,3.049775,3.399618,2.7508116,3.5729954,NISQAv2
real_950.wav,4.312271,3.8798473,4.449787,4.081762,4.435626,NISQAv2
real_1302.wav,2.7303483,3.9648023,3.8312201,2.866896,3.622714,NISQAv2
real_788.wav,3.3230312,2.9811828,4.1121774,3.688669,3.9466305,NISQAv2
real_978.wav,4.546728,4.1524763,4.5481625,4.378983,4.493587,NISQAv2
